0,1,2
0,8810903027141453/2251799813685248,-2706066938221031/2251799813685248
1054783019780529/562949953421312,988439536989549/562949953421312,-1706708237046137/562949953421312
435344151237797/281474976710656,293133563573621/140737488355328,-1706708237046137/562949953421312
435344151237797/281474976710656,8810903027141453/2251799813685248,-2706066938221031/2251799813685248
2219626294664787/562949953421312,988439536989549/562949953421312,-541864962161879/562949953421312
2219626294664787/562949953421312,2010111240764383/1125899906842624,-1050497757538473/1125899906842624
4087824633046461/2251799813685248,8810903027141453/2251799813685248,-1050497757538473/1125899906842624
484491907665123/281474976710656,0,4516228232141861/1125899906842624
2219626294664787/562949953421312,0,2014943273472779/1125899906842624
0,1651719806988053/1125899906842624,4516228232141861/1125899906842624
0,8810903027141453/2251799813685248,3524993051118375/2251799813685248
2219626294664787/562949953421312,0,0
0,0,0
0,8810903027141453/2251799813685248,0
0,0,4516228232141861/1125899906842624
4087824633046461/2251799813685248,8810903027141453/2251799813685248,0
2219626294664787/562949953421312,2010111240764383/1125899906842624,0
365878884958859/281474976710656,8810903027141453/2251799813685248,3524993051118375/2251799813685248
4087824633046461/2251799813685248,8810903027141453/2251799813685248,1182099748871393/1125899906842624
2219626294664787/562949953421312,2010111240764383/1125899906842624,1182099748871393/1125899906842624
365878884958859/281474976710656,1651719806988053/1125899906842624,4516228232141861/1125899906842624
484491907665123/281474976710656,1177267716162997/1125899906842624,4516228232141861/1125899906842624
2219626294664787/562949953421312,1177267716162997/1125899906842624,2014943273472779/1125899906842624
